i,U,K,Px,Py,Pz,Ne
132,-75456365.53316365,39408707.173451446,-4244.55116262067,6859.407855929474,-3741.146796334108,63.0
133,-75391098.7691987,39378721.5203941,-4244.551162620618,6859.407855929594,-3741.146796334118,64.0
134,-75325915.29738843,39315914.747574,-4244.551162620727,6859.407855929587,-3741.1467963341,65.0
135,-75261115.20242399,39276236.35295977,-4244.551162620666,6859.407855929602,-3741.1467963340338,65.0
136,-75196553.79052936,39246866.38547498,-4244.551162620659,6859.407855929468,-3741.1467963340774,65.0
137,-75132740.9292154,39223131.121681355,-4244.551162620661,6859.407855929565,-3741.146796334098,65.0
138,-75067839.77403885,39210713.885672145,-4244.551162620646,6859.407855929606,-3741.1467963340806,65.0
139,-75002579.92932184,39162269.6586381,-4244.5511626206835,6859.4078559295895,-3741.146796334102,65.0
140,-74936431.13213047,39121789.2903897,-4244.551162620582,6859.407855929512,-3741.1467963340565,65.0
141,-74870172.82658905,39086308.794188045,-4244.551162620722,6859.407855929638,-3741.146796334189,65.0
142,-74801055.67593694,39043465.4491352,-4244.551162620687,6859.407855929562,-3741.146796334096,65.0
143,-74731964.75348948,39016923.80202145,-4244.5511626207435,6859.407855929564,-3741.146796334073,65.0
144,-74660626.27939256,38974013.122479506,-4244.55116262074,6859.407855929566,-3741.1467963340783,65.0
145,-74588306.29814951,38935396.99297636,-4244.551162620633,6859.407855929506,-3741.146796334075,65.0
146,-74516983.97104248,38905684.08731571,-4244.5511626207035,6859.407855929578,-3741.146796334137,65.0
147,-74445799.39865577,38852990.398414545,-4244.551162620577,6859.407855929617,-3741.1467963341543,65.0
148,-74374073.14529261,38799823.29420057,-4244.5511626206535,6859.407855929528,-3741.146796334037,65.0
149,-74302969.16829649,38745412.77466635,-4244.551162620655,6859.40785592955,-3741.146796334171,65.0
150,-74233217.98487099,38693851.72460134,-4244.551162620719,6859.407855929549,-3741.146796334104,65.0
151,-74163380.17157747,38640614.122168764,-4244.551162620653,6859.407855929543,-3741.1467963341265,65.0
152,-74093639.85419719,38587161.47284592,-4244.5511626206435,6859.407855929585,-3741.1467963341024,65.0
153,-74025240.26670505,38542029.81482369,-4244.551162620731,6859.407855929639,-3741.14679633407,65.0
154,-73960321.20898172,38516953.024831876,-4244.551162620631,6859.407855929612,-3741.146796334134,65.0
155,-73899788.57921995,38469240.34439222,-4244.551162620711,6859.407855929534,-3741.146796334069,65.0
156,-73844238.63558172,38433139.64610113,-4244.551162620649,6859.407855929596,-3741.1467963340524,65.0
157,-73794015.35903156,38413463.62632672,-4244.551162620626,6859.4078559296195,-3741.146796334048,65.0
158,-73747777.91216196,38412084.88382748,-4244.551162620635,6859.4078559295795,-3741.1467963341124,67.0
159,-73704214.51837859,38388152.17241118,-4244.551162620687,6859.407855929665,-3741.1467963340956,67.0
160,-73665814.23179086,38371287.31131942,-4244.551162620565,6859.407855929574,-3741.146796334157,67.0
161,-73629719.62398024,38388529.511408076,-4244.551162620603,6859.407855929613,-3741.1467963340738,67.0
162,-73597080.23853661,38449956.90921805,-4244.551162620637,6859.407855929584,-3741.1467963341033,67.0
163,-73565858.8908409,38376157.15075625,-4244.551162620658,6859.407855929589,-3741.1467963340833,71.0
164,-73534780.13496579,38395258.328544386,-4244.551162620657,6859.407855929496,-3741.146796334062,71.0
165,-73504447.66486743,38379802.49397143,-4244.551162620632,6859.40785592964,-3741.146796334095,71.0
166,-73475094.17859128,38372998.78333984,-4244.55116262064,6859.407855929442,-3741.146796334079,71.0
167,-73446568.30609743,38371340.175677896,-4244.551162620634,6859.4078559294285,-3741.1467963340506,71.0
168,-73419810.09845798,38385373.583394244,-4244.55116262081,6859.4078559296795,-3741.1467963341324,71.0
169,-73392766.55183212,38372008.03665612,-4244.551162620682,6859.407855929602,-3741.1467963341242,71.0
170,-73367019.83664614,38378437.03739296,-4244.551162620624,6859.407855929587,-3741.1467963341233,71.0
171,-73342546.38046305,38406660.12628713,-4244.551162620622,6859.407855929517,-3741.1467963340924,71.0
172,-73319543.28548983,38399727.19492764,-4244.55116262072,6859.407855929651,-3741.1467963341056,71.0
173,-73298595.25829503,38391685.213003375,-4244.551162620643,6859.407855929562,-3741.1467963341092,71.0
174,-73280077.06388105,38388865.24846374,-4244.551162620637,6859.407855929509,-3741.1467963340974,71.0
175,-73263580.18478899,38384133.56826784,-4244.5511626207235,6859.40785592956,-3741.1467963341133,73.0
176,-73245379.52737896,38381628.08975147,-4244.5511626206735,6859.407855929634,-3741.1467963340733,73.0
177,-73228921.5005529,38383647.84992859,-4244.551162620648,6859.407855929445,-3741.1467963340797,73.0
178,-73211752.5523989,38386815.93574511,-4244.551162620653,6859.4078559295895,-3741.146796334106,75.0
179,-73192342.4906378,38378120.363374114,-4244.551162620615,6859.4078559296,-3741.146796334122,75.0
180,-73171814.06737292,38378856.26870181,-4244.551162620616,6859.4078559296595,-3741.1467963341065,75.0
181,-73149767.6134745,38365828.50887565,-4244.551162620572,6859.407855929683,-3741.146796334126,77.0
182,-73125661.7238044,38355331.66420666,-4244.55116262069,6859.407855929527,-3741.1467963340956,77.0
183,-73100370.22286138,38355332.34758373,-4244.551162620653,6859.407855929656,-3741.146796334141,77.0
184,-73075084.7595582,38349664.83839663,-4244.551162620696,6859.407855929516,-3741.146796334053,77.0
185,-73049071.71569923,38351594.799838744,-4244.55116262066,6859.407855929662,-3741.1467963341606,77.0
186,-73022417.12727015,38346632.57475538,-4244.551162620653,6859.407855929624,-3741.146796334133,77.0
187,-72995724.13286857,38340143.7300294,-4244.551162620617,6859.407855929685,-3741.1467963340965,77.0
188,-72967887.54004903,38339358.55261518,-4244.551162620634,6859.4078559295385,-3741.146796334117,77.0
189,-72940333.59253109,38324443.214398466,-4244.551162620631,6859.4078559294585,-3741.1467963341106,77.0
190,-72913019.98705474,38318505.6755516,-4244.551162620641,6859.407855929493,-3741.1467963340915,77.0
191,-72886236.92037062,38309677.35791795,-4244.551162620646,6859.407855929566,-3741.1467963341197,77.0
192,-72861798.4609182,38300391.73674716,-4244.551162620695,6859.407855929593,-3741.146796334136,77.0
193,-72838346.01214354,38289849.67452467,-4244.551162620648,6859.407855929459,-3741.146796334111,77.0
194,-72816188.86267728,38288605.23712588,-4244.551162620604,6859.407855929623,-3741.146796334126,77.0
195,-72796470.21293442,38288106.63265517,-4244.551162620626,6859.407855929581,-3741.146796334081,77.0
196,-72778593.60964574,38289941.84743908,-4244.55116262064,6859.407855929667,-3741.146796334102,77.0
197,-72761604.10738091,38292206.76803278,-4244.551162620639,6859.40785592955,-3741.146796334054,77.0
198,-72744798.72165267,38336581.29366797,-4244.551162620611,6859.407855929639,-3741.1467963340565,77.0
199,-72727242.18407553,38338141.88027969,-4244.551162620575,6859.407855929578,-3741.1467963341065,79.0
200,-72706922.3893503,38313563.74208358,-4244.55116262067,6859.407855929576,-3741.1467963341015,81.0
201,-72686240.42279272,38308612.05556035,-4244.551162620605,6859.407855929462,-3741.1467963341534,81.0
202,-72665010.91814147,38314689.62956068,-4244.5511626206435,6859.407855929519,-3741.146796334216,81.0
203,-72644024.95632327,38322404.23172711,-4244.55116262067,6859.407855929588,-3741.1467963341092,81.0
204,-72622277.96194516,38320034.55915683,-4244.551162620625,6859.40785592955,-3741.1467963340924,82.0
205,-72601070.98872875,38311753.74288017,-4244.5511626206535,6859.407855929563,-3741.1467963341083,82.0
206,-72580151.25008099,38320591.57843621,-4244.551162620632,6859.40785592956,-3741.146796334045,82.0
207,-72560270.46531022,38347863.19775924,-4244.551162620663,6859.407855929567,-3741.146796334186,82.0
208,-72540899.81525882,38353946.957549214,-4244.551162620611,6859.407855929559,-3741.146796334096,82.0
209,-72524144.96874498,38400987.81872702,-4244.551162620681,6859.40785592961,-3741.146796334223,82.0
210,-72508339.08770575,38365954.67412057,-4244.551162620667,6859.407855929597,-3741.1467963341324,84.0
211,-72492982.43136927,38365293.94414404,-4244.551162620595,6859.407855929575,-3741.1467963342084,84.0
212,-72478398.809346,38381451.4140401,-4244.551162620629,6859.407855929559,-3741.1467963341042,84.0
213,-72465439.7948301,38402631.58971768,-4244.551162620652,6859.407855929495,-3741.1467963342225,84.0
214,-72452628.97882542,38436050.88896991,-4244.551162620675,6859.407855929575,-3741.1467963340565,84.0
215,-72439583.83482094,38438040.981583536,-4244.551162620686,6859.407855929417,-3741.146796334163,84.0
216,-72427150.56345126,38483361.25060801,-4244.551162620579,6859.407855929548,-3741.146796334075,84.0
217,-72413267.46422271,38520379.645720646,-4244.5511626206735,6859.407855929669,-3741.1467963340897,86.0
218,-72399057.18502876,38511620.74263821,-4244.551162620645,6859.407855929507,-3741.1467963340297,88.0
219,-72384371.60759462,38528606.35169629,-4244.551162620707,6859.407855929641,-3741.146796333984,88.0
220,-72370625.94606559,38544468.38894126,-4244.5511626206,6859.407855929623,-3741.146796334186,88.0
221,-72356613.19337499,38582448.12485552,-4244.551162620605,6859.40785592944,-3741.1467963340247,88.0
222,-72343082.15831816,38592396.62365618,-4244.551162620572,6859.407855929534,-3741.146796334166,88.0
223,-72328621.7667204,38609945.13472803,-4244.551162620629,6859.407855929536,-3741.1467963341593,88.0
224,-72312432.18821366,38635538.80964301,-4244.551162620654,6859.40785592947,-3741.1467963341192,88.0
225,-72295715.49232192,38632049.30197632,-4244.551162620621,6859.407855929656,-3741.146796333978,88.0
226,-72277788.66086234,38671241.00088109,-4244.551162620618,6859.4078559295485,-3741.1467963341897,88.0
227,-72259051.90252455,38648274.79662596,-4244.5511626206935,6859.407855929596,-3741.146796334073,90.0
228,-72240196.1108559,38644475.43057293,-4244.551162620658,6859.407855929596,-3741.146796334143,90.0
229,-72222529.17996994,38641973.98661072,-4244.551162620674,6859.407855929534,-3741.1467963340947,90.0
230,-72207657.13637558,38643132.15691877,-4244.551162620644,6859.407855929602,-3741.146796333991,90.0
231,-72194031.25060348,38662754.75112876,-4244.551162620637,6859.407855929509,-3741.14679633413,90.0
232,-72182255.20387259,38711744.844796576,-4244.551162620589,6859.40785592955,-3741.146796334109,90.0
233,-72171271.49430077,38703474.84268399,-4244.551162620572,6859.407855929571,-3741.1467963340942,92.0
234,-72160428.12542821,38706132.52290806,-4244.55116262065,6859.4078559295385,-3741.1467963341147,92.0
235,-72149831.49265993,38710342.71864099,-4244.551162620555,6859.4078559294685,-3741.146796334086,92.0
236,-72140062.08797891,38716854.708457336,-4244.551162620714,6859.407855929546,-3741.1467963341443,92.0
237,-72128424.68927844,38727010.67211671,-4244.551162620613,6859.407855929526,-3741.1467963340765,92.0
238,-72115876.57400848,38732825.072245814,-4244.5511626206235,6859.4078559295895,-3741.1467963341424,92.0
239,-72101951.76827957,38755320.5940762,-4244.551162620623,6859.4078559296095,-3741.1467963340788,92.0
240,-72086163.40657867,38784167.482868716,-4244.551162620633,6859.407855929512,-3741.1467963341597,92.0
241,-72068648.88722707,38813113.19763642,-4244.55116262055,6859.407855929563,-3741.146796334075,92.0
242,-72048463.38170165,38788490.5820269,-4244.551162620583,6859.407855929617,-3741.1467963341083,94.0
243,-72026216.8805894,38793731.34689709,-4244.551162620595,6859.407855929507,-3741.1467963341397,94.0
244,-72003199.29575993,38802445.680767946,-4244.551162620626,6859.40785592954,-3741.146796334105,94.0
245,-71977852.58844599,38770833.56996023,-4244.551162620631,6859.407855929563,-3741.146796334092,96.0
246,-71951629.45982906,38768083.71377189,-4244.551162620648,6859.407855929568,-3741.1467963340892,96.0
247,-71925438.48492339,38756832.110895574,-4244.5511626206235,6859.407855929605,-3741.146796334061,96.0
248,-71899342.93708442,38753312.82996803,-4244.551162620699,6859.407855929444,-3741.146796334141,96.0
249,-71873662.07000738,38744389.10427907,-4244.551162620628,6859.407855929682,-3741.146796334074,97.0
250,-71848371.46710908,38742380.8493372,-4244.5511626206235,6859.407855929514,-3741.1467963341447,97.0
251,-71823445.3109032,38766987.444332786,-4244.551162620608,6859.407855929482,-3741.146796334126,97.0
